1;1;2;3;9;23;17;25;23;42;48;53;43;33;21;24;7;6;2;4;2;0;0;0;0
0;0;0;0;1;1;1;5;4;7;15;17;32;39;87;59;79;123;227;332;452;615;928;1177;1770
0;4;6;10;16;18;13;25;31;30;36;32;42;53;155;49;81;87;104;272;277;498;1231;2979;10063
1;5;5;9;16;21;7;30;49;84;69;94;117;204;848;200;263;289;381;965;529;803;1686;4464;39376
5;12;25;29;34;56;77;120;158;263;241;321;361;446;2824;515;599;710;838;3273;912;1247;1971;5456;159092
2;3;9;29;51;80;128;196;227;382;483;683;1028;1630;3664;2886;3765;4828;5933;9921;8220;11020;14514;20759;166680
0;2;3;9;28;44;101;146;203;351;476;744;1121;2032;5939;4854;7317;10189;13492;22133;19088;25878;33923;50343;464657
0;0;2;4;71;129;195;259;408;591;768;1122;1759;2622;5419;5649;8042;11393;14975;24040;25122;35876;51778;77926;1132816
0;0;2;7;115;172;266;404;555;902;1125;1538;2115;3008;5998;6004;8544;12150;15961;25763;27305;39585;60025;91443;2676545
0;3;4;14;102;162;223;340;452;721;745;928;1218;1780;5124;4205;6346;9660;13234;23928;21426;30761;44465;71004;3389375
0;1;12;11;29;49;77;163;216;387;487;699;894;1339;4301;2612;3863;5730;7581;15712;12265;17683;26788;44721;1729282
1;2;4;12;27;46;69;66;80;121;149;186;248;382;2078;1105;1628;2206;2821;7493;3602;4913;6505;9719;618815
0;0;5;19;34;55;61;67;91;93;83;106;127;157;761;434;599;948;1232;3367;1348;1682;1857;2506;115899
1;2;9;13;20;41;35;39;42;35;59;52;34;46;35;33;36;55;43;57;44;37;45;31;216
1;2;4;4;8;10;10;6;18;23;32;29;27;33;33;19;23;20;22;18;15;15;19;9;13
0;5;0;12;7;11;7;10;15;13;22;14;19;26;12;26;16;22;25;14;7;10;20;13;6
