0;1;1;4;11;8;6;20;27;59;27;54;67;123;7685;399;428;423;515;8609;588;677;904;1070;979515
11;6;11;23;44;46;47;44;54;94;86;83;97;165;1458;247;249;216;228;587;191;241;250;394;12361
33;78;110;166;729;378;388;346;343;452;344;351;390;406;823;468;526;528;518;989;442;500;604;684;6040
23;61;165;303;745;544;644;699;788;1247;971;1004;1102;1167;1944;1165;1194;1159;1275;2018;1206;1375;1431;1676;6160
13;58;169;349;771;780;1082;1318;1634;2184;2114;2313;2545;2895;4594;2910;3060;3182;3358;5140;3156;3465;3904;4697;19506
7;42;95;176;581;741;1066;1528;2065;2766;2778;3112;3367;3690;5475;4041;4166;4394;4883;7046;5476;6623;7847;9747;43807
1;25;57;225;639;982;1457;1809;2336;3100;3143;3449;3644;3883;5472;4327;4725;5229;5942;8823;7778;9764;13472;19947;122030
0;12;58;215;524;745;990;1323;1629;2285;2460;2846;3112;3670;5510;4823;5477;6020;6945;9842;9466;12421;18115;28590;197669
2;5;14;49;114;182;291;464;725;1116;1341;1798;2436;3327;5726;5121;5927;7008;8180;11309;11186;14428;20558;32225;351083
2;5;13;52;91;157;223;354;492;769;913;1254;1679;2501;5493;4489;5406;6180;7373;11336;9889;12355;16254;22776;451354
2;7;25;60;97;110;153;196;286;365;407;533;670;805;1820;1428;1588;1681;2004;3120;2603;3223;4577;6708;126719
1;4;7;11;11;14;11;12;4;6;12;12;14;19;25;15;19;26;20;24;22;10;34;44;332
0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
