0;0;0;0;0;0;0;1;1;1;0;0;2;5;96;5;4;9;26;130;74;149;403;1142;7963
0;1;1;3;9;3;9;6;15;25;30;22;23;46;406;55;61;87;115;487;173;302;674;1735;27984
1;4;5;12;15;24;44;67;111;168;157;210;275;289;3151;455;514;581;656;3540;801;1010;1185;1869;188340
2;4;3;23;35;64;117;142;215;362;425;625;870;1457;3836;2771;3742;4789;6012;10366;8230;11114;14824;21498;188147
0;1;3;10;31;42;97;133;199;361;469;778;1144;2143;6348;5373;7975;11015;14351;23797;20177;27333;35199;51123;496763
0;0;6;5;95;172;232;342;468;663;913;1448;2137;3302;6416;6755;9536;13123;16861;26265;27203;38447;54780;80653;1114494
0;0;4;15;191;261;386;566;797;1251;1551;2151;2959;4241;7363;7549;10306;14007;18110;27748;30102;44326;65856;101467;2364022
0;5;6;28;259;334;475;597;675;948;1089;1500;2001;2987;6367;5941;8792;12221;15990;26304;25482;37413;56830;94169;3017527
2;2;16;26;127;228;375;539;626;969;948;1103;1469;1916;5294;3810;5519;7934;10373;18879;16370;24392;38213;64659;1853226
1;8;6;39;68;100;120;153;225;362;419;599;821;1231;3322;2224;3018;4008;4829;9034;6704;9743;14459;23750;548348
1;4;10;38;50;62;115;125;121;173;148;203;246;424;2153;1202;1604;2179;2589;6086;2952;3639;4582;6370;432677
0;7;11;45;52;67;52;74;74;85;71;98;118;164;477;315;453;507;723;1622;597;769;951;1490;23476
3;8;9;29;39;50;37;33;36;56;34;29;25;25;20;32;27;29;26;16;20;19;12;16;89
3;5;6;16;20;23;36;21;25;13;17;16;14;18;17;14;10;18;6;6;4;3;3;2;1
0;3;2;13;11;13;20;12;15;20;18;12;17;20;20;15;13;9;15;6;2;1;3;2;2
0;2;3;14;0;5;8;16;9;19;15;20;17;15;19;19;8;15;10;12;7;12;4;3;1
